id_country;country;start_place;start_day;start_month;start_h;start_min;start_seg;end_day;end_month;end_h;end_min;end_seg;user_time
13;Rumanía;Intermodal El Rincón;1;12;11;59;54;1;12;13;4;11; 01:04:17
16;Irlanda;Cabildo de Gran Canaria;13;12;18;9;59;13;12;19;14;4; 01:04:05
11;Reino Unido;Parque Santa Catalina;20;12;10;39;59;20;12;11;44;2; 01:04:03
7;Eslovaquia;Gabinete Literario;3;12;19;40;52;3;12;20;44;32; 01:03:40
1;Alemania;Plaza del Pilar;31;12;16;9;39;31;12;17;13;17; 01:03:38
15;Italia;Base Naval;23;12;13;55;34;23;12;14;59;8; 01:03:34
11;Reino Unido;Las Canteras - Luis Morote;29;12;16;35;44;29;12;17;38;25; 01:02:41
11;Reino Unido;Las Canteras - Luis Morote;29;12;16;36;10;29;12;17;38;25; 01:02:15
1;Alemania;Plaza del Pilar;28;12;9;57;47;28;12;10;59;58; 01:02:11
1;Alemania;Plaza del Pilar;28;12;9;57;56;28;12;10;59;57; 01:02:01
1;Alemania;San Telmo;13;12;21;21;34;13;12;22;23;15; 01:01:41
11;Reino Unido;Parque Santa Catalina;13;12;10;14;33;13;12;11;16;13; 01:01:40
14;Finlandia;San Telmo;25;12;10;1;52;25;12;11;3;21; 01:01:29
11;Reino Unido;Parque Santa Catalina;20;12;10;39;37;20;12;11;41;1; 01:01:24
18;Polonia;Castillo de la Luz;25;12;12;41;13;25;12;13;42;34; 01:01:21
11;Reino Unido;C.C. El Muelle;30;12;14;27;42;30;12;15;29;3; 01:01:21
7;Eslovaquia;Parque Santa Catalina;26;12;12;4;10;26;12;13;5;29; 01:01:19
9;Países Bajos;Plaza del Pilar;30;12;16;8;7;30;12;17;9;25; 01:01:18
14;Finlandia;Vermisst;2;12;19;27;43;2;12;20;28;44; 01:01:01
11;Reino Unido;Plaza de España (elect.);8;12;11;12;14;8;12;12;13;8; 01:00:54
16;Irlanda;Plazoleta de Farray;22;12;15;9;45;22;12;16;10;32; 01:00:47
16;Irlanda;Plazoleta de Farray;22;12;15;9;53;22;12;16;10;26; 01:00:33
18;Polonia;Plaza de España (elect.);27;12;15;49;35;27;12;16;50;3; 01:00:28
11;Reino Unido;Parque Santa Catalina;16;12;10;29;57;16;12;11;30;10; 01:00:13
2;Austria;Plaza del Pilar;16;12;19;26;29;16;12;20;26;26; 00:59:57
11;Reino Unido;Parque Santa Catalina;13;12;10;14;53;13;12;11;14;18; 00:59:25
1;Alemania;Churruca;23;12;17;56;47;23;12;18;55;58; 00:59:11
1;Alemania;Las Canteras - Luis Morote;16;12;18;50;56;16;12;19;50;2; 00:59:06
11;Reino Unido;C.C. El Muelle;21;12;15;35;14;21;12;16;34;8; 00:58:54
1;Alemania;San Telmo;31;12;12;5;33;31;12;13;4;26; 00:58:53
1;Alemania;Plaza San Agustín;18;12;17;7;10;18;12;18;5;50; 00:58:40
11;Reino Unido;San Telmo;22;12;21;59;28;22;12;22;58;0; 00:58:32
1;Alemania;Castillo de la Luz;28;12;17;12;46;28;12;18;11;15; 00:58:29
25;Noruega;San Telmo;23;12;12;23;39;23;12;13;22;7; 00:58:28
15;Italia;Intermodal El Rincón;30;12;15;46;12;30;12;16;44;36; 00:58:24
11;Reino Unido;San Telmo;22;12;21;59;59;22;12;22;58;13; 00:58:14
19;Rep. Checa;Las Canteras - Luis Morote;25;12;16;40;25;25;12;17;38;35; 00:58:10
11;Reino Unido;Oficina de la Sitycleta;9;12;18;35;22;9;12;19;33;22; 00:58:00
16;Irlanda;Ayuntamiento;31;12;17;30;50;31;12;18;28;45; 00:57:55
14;Finlandia;Las Canteras - Luis Morote;9;12;15;9;20;9;12;16;7;12; 00:57:52
1;Alemania;Ayuntamiento;17;12;13;26;16;17;12;14;23;54; 00:57:38
29;Japón;Teatro Pérez Galdós;16;12;17;33;12;16;12;18;30;42; 00:57:30
14;Finlandia;Parque Santa Catalina;19;12;10;44;39;19;12;11;42;2; 00:57:23
16;Irlanda;Churruca;19;12;14;55;14;19;12;15;52;34; 00:57:20
1;Alemania;Las Canteras - Luis Morote;8;12;17;14;21;8;12;18;11;36; 00:57:15
3;Bélgica;Churruca;23;12;14;34;47;23;12;15;31;58; 00:57:11
